Training Time (seconds), Average Time per Epoch (seconds), Test Loss, Average Dollar Difference ($), Data Limit, PCA
29.68, 5.94, 0.001384, 1604.31, 100, True
50.82, 5.65, 0.003586, 3039.53, 100, False
59.17, 11.83, 0.001786, 2017.97, 200, True
155.05, 10.34, 0.000155, 544.77, 200, False
530.84, 35.39, 0.001196, 1763.23, 500, True
324.64, 29.51, 0.000303, 876.80, 500, False
1362.29, 272.46, 0.000294, 666.67, 1000, True
269.08, 53.82, 0.000105, 484.11, 1000, False
1182.23, 78.81, 0.000667, 1382.99, 2000, True
736.54, 49.10, 0.0000660145, 371.85, 2000, False
1415.17,141.52,1.076587,0.00,N/A,True
1063.79,106.38,1.073402,0.00,N/A,True
861.93,86.19,1.036846,0.00,N/A,True
881.78,88.18,1.039580,0.00,N/A,True
1796.66,89.83,1.091546,0.00,N/A,True
1815.35,90.77,1.093201,0.00,N/A,True
10271.30,513.57,8131721.916842,0.00,N/A,True
542.54,108.51,1.403294,0.00,N/A,True
674.42,134.88,1.096815,0.00,N/A,True
1353.88,135.39,1.097130,0.00,N/A,True
6007.75,60.08,1.086727,0.00,N/A,True
1083.43,10.83,1.090845,0.00,N/A,True
1018.52,10.19,1.085996,0.00,N/A,True
1570.15,15.70,1.092711,0.00,N/A,True
2912.69,29.13,1.092503,0.00,N/A,True
841.35,8.41,1.092610,0.00,N/A,True
866.81,8.67,1.091522,0.00,N/A,True
789.14,7.89,1.090439,0.00,N/A,True
911.03,9.11,1.085114,0.00,N/A,True
622.31,6.22,1.082686,0.00,N/A,True
899.27,8.99,1.084713,0.00,N/A,True
899.37,8.99,1.088160,0.00,N/A,True
4156.39,41.56,1.091558,0.00,N/A,True
4158.42,41.58,1.109851,0.00,N/A,False
4040.32,40.40,1.097477,0.00,N/A,True
4293.69,42.94,1.114412,0.00,N/A,False
571.38,5.71,1.097915,0.00,N/A,True
1402.49,14.02,1.089692,0.00,N/A,False
1251.23,12.51,1.084103,0.00,N/A,False
1368.27,13.68,1.095055,0.00,N/A,True
4172.34,41.72,1.103961,0.00,N/A,True
4664.11,46.64,1.102449,0.00,N/A,False
